Episode: 10 | Scores: -284.87 | Mean_Scores: -488.37 | Time: 00:00:04
Episode: 20 | Scores: -84.70 | Mean_Scores: -340.31 | Time: 00:00:08
Episode: 30 | Scores: -210.81 | Mean_Scores: -304.46 | Time: 00:00:11
Episode: 40 | Scores: -315.85 | Mean_Scores: -285.52 | Time: 00:00:14
Episode: 50 | Scores: -142.65 | Mean_Scores: -268.17 | Time: 00:00:18
Episode: 60 | Scores: -403.85 | Mean_Scores: -296.12 | Time: 00:00:24
Episode: 70 | Scores: -207.87 | Mean_Scores: -280.79 | Time: 00:00:54
Episode: 80 | Scores: -202.65 | Mean_Scores: -270.32 | Time: 00:01:46
Episode: 90 | Scores: -238.64 | Mean_Scores: -267.64 | Time: 00:02:36
Episode: 100 | Scores: -243.32 | Mean_Scores: -267.94 | Time: 00:03:13
Episode: 110 | Scores: -179.70 | Mean_Scores: -244.24 | Time: 00:03:49
Episode: 120 | Scores: -307.34 | Mean_Scores: -250.30 | Time: 00:04:28
Episode: 130 | Scores: -220.82 | Mean_Scores: -249.93 | Time: 00:04:57
Episode: 140 | Scores: -228.83 | Mean_Scores: -249.21 | Time: 00:05:21
Episode: 150 | Scores: -229.16 | Mean_Scores: -252.04 | Time: 00:05:41
Episode: 160 | Scores: -238.52 | Mean_Scores: -229.85 | Time: 00:06:01
Episode: 170 | Scores: -167.26 | Mean_Scores: -231.05 | Time: 00:06:21
Episode: 180 | Scores: -136.75 | Mean_Scores: -230.51 | Time: 00:06:59
Episode: 190 | Scores: -183.93 | Mean_Scores: -223.86 | Time: 00:07:28
Episode: 200 | Scores: -104.84 | Mean_Scores: -214.22 | Time: 00:07:55
Episode: 210 | Scores: -107.85 | Mean_Scores: -204.11 | Time: 00:08:43
Episode: 220 | Scores: -129.96 | Mean_Scores: -193.68 | Time: 00:09:41
Episode: 230 | Scores: -356.34 | Mean_Scores: -191.74 | Time: 00:10:26
Episode: 240 | Scores: -125.32 | Mean_Scores: -194.39 | Time: 00:11:16
Episode: 250 | Scores: -41.35 | Mean_Scores: -185.72 | Time: 00:12:19
Episode: 260 | Scores: -43.32 | Mean_Scores: -170.06 | Time: 00:13:13
Episode: 270 | Scores: -55.00 | Mean_Scores: -156.51 | Time: 00:14:14
Episode: 280 | Scores: -20.13 | Mean_Scores: -143.21 | Time: 00:15:18
Episode: 290 | Scores: -80.65 | Mean_Scores: -131.94 | Time: 00:16:20
Episode: 300 | Scores: -29.81 | Mean_Scores: -121.90 | Time: 00:17:22
Episode: 310 | Scores: -98.16 | Mean_Scores: -115.79 | Time: 00:18:17
Episode: 320 | Scores: -167.80 | Mean_Scores: -110.41 | Time: 00:18:57
Episode: 330 | Scores: -51.14 | Mean_Scores: -103.21 | Time: 00:19:38
Episode: 340 | Scores: -94.75 | Mean_Scores: -91.20 | Time: 00:20:14
Episode: 350 | Scores: -76.48 | Mean_Scores: -88.65 | Time: 00:20:47
Episode: 360 | Scores: -83.81 | Mean_Scores: -93.06 | Time: 00:21:24
Episode: 370 | Scores: -60.28 | Mean_Scores: -91.53 | Time: 00:22:25
Episode: 380 | Scores: -68.12 | Mean_Scores: -90.73 | Time: 00:23:26
Episode: 390 | Scores: -74.14 | Mean_Scores: -93.25 | Time: 00:24:20
Episode: 400 | Scores: -114.36 | Mean_Scores: -97.70 | Time: 00:25:14
Episode: 410 | Scores: -140.94 | Mean_Scores: -98.78 | Time: 00:26:01
Episode: 420 | Scores: -42.93 | Mean_Scores: -96.28 | Time: 00:26:59
Episode: 430 | Scores: 12.74 | Mean_Scores: -88.17 | Time: 00:28:03
Episode: 440 | Scores: -33.36 | Mean_Scores: -80.41 | Time: 00:29:05
Episode: 450 | Scores: -46.60 | Mean_Scores: -73.29 | Time: 00:30:06
Episode: 460 | Scores: 182.64 | Mean_Scores: -63.36 | Time: 00:31:05
Episode: 470 | Scores: 77.89 | Mean_Scores: -56.12 | Time: 00:32:09
Episode: 480 | Scores: -46.05 | Mean_Scores: -43.26 | Time: 00:33:00
Episode: 490 | Scores: 103.45 | Mean_Scores: -24.00 | Time: 00:33:48
Episode: 500 | Scores: 108.17 | Mean_Scores: -14.08 | Time: 00:34:37
Episode: 510 | Scores: -132.73 | Mean_Scores: 4.72 | Time: 00:35:27
Episode: 520 | Scores: -19.57 | Mean_Scores: 12.74 | Time: 00:36:29
Episode: 530 | Scores: 147.28 | Mean_Scores: 14.98 | Time: 00:37:34
Episode: 540 | Scores: 37.51 | Mean_Scores: 27.46 | Time: 00:38:37
Episode: 550 | Scores: -46.60 | Mean_Scores: 44.94 | Time: 00:39:23
Episode: 560 | Scores: 147.13 | Mean_Scores: 59.34 | Time: 00:40:01
Episode: 570 | Scores: 115.17 | Mean_Scores: 74.47 | Time: 00:40:42
Episode: 580 | Scores: 203.19 | Mean_Scores: 86.16 | Time: 00:41:26
Episode: 590 | Scores: 207.88 | Mean_Scores: 88.50 | Time: 00:41:58
Episode: 600 | Scores: 157.18 | Mean_Scores: 107.04 | Time: 00:42:55
Episode: 610 | Scores: -57.11 | Mean_Scores: 106.08 | Time: 00:44:01
Episode: 620 | Scores: -80.96 | Mean_Scores: 94.82 | Time: 00:45:15
Episode: 630 | Scores: -119.23 | Mean_Scores: 92.62 | Time: 00:46:35
Episode: 640 | Scores: 167.48 | Mean_Scores: 98.18 | Time: 00:47:33
Episode: 650 | Scores: 163.64 | Mean_Scores: 98.03 | Time: 00:48:13
Episode: 660 | Scores: -178.79 | Mean_Scores: 79.82 | Time: 00:48:54
Episode: 670 | Scores: -96.90 | Mean_Scores: 62.98 | Time: 00:49:28
Episode: 680 | Scores: 181.73 | Mean_Scores: 38.01 | Time: 00:50:04
Episode: 690 | Scores: 251.62 | Mean_Scores: 36.04 | Time: 00:50:45
Episode: 700 | Scores: -40.42 | Mean_Scores: 28.85 | Time: 00:51:24
Episode: 710 | Scores: -122.68 | Mean_Scores: 30.30 | Time: 00:52:04
Episode: 720 | Scores: -48.74 | Mean_Scores: 48.56 | Time: 00:52:54
Episode: 730 | Scores: 190.34 | Mean_Scores: 66.65 | Time: 00:53:31
Episode: 740 | Scores: 180.15 | Mean_Scores: 68.32 | Time: 00:54:13
Episode: 750 | Scores: 126.11 | Mean_Scores: 70.29 | Time: 00:54:54
Episode: 760 | Scores: -92.29 | Mean_Scores: 87.63 | Time: 00:55:40
Episode: 770 | Scores: 230.05 | Mean_Scores: 104.03 | Time: 00:56:27
Episode: 780 | Scores: 164.53 | Mean_Scores: 119.03 | Time: 00:57:07
Episode: 790 | Scores: 152.99 | Mean_Scores: 125.04 | Time: 00:57:54
Episode: 800 | Scores: 174.79 | Mean_Scores: 130.26 | Time: 00:58:37
Episode: 810 | Scores: 192.02 | Mean_Scores: 128.85 | Time: 00:59:15
Episode: 820 | Scores: 215.40 | Mean_Scores: 133.25 | Time: 00:59:52
Episode: 830 | Scores: 68.25 | Mean_Scores: 136.98 | Time: 01:00:27
Episode: 840 | Scores: -48.52 | Mean_Scores: 133.19 | Time: 01:01:06
Episode: 850 | Scores: 205.42 | Mean_Scores: 135.61 | Time: 01:01:38
Episode: 860 | Scores: 221.86 | Mean_Scores: 134.11 | Time: 01:02:20
Episode: 870 | Scores: 297.04 | Mean_Scores: 138.71 | Time: 01:02:53
Episode: 880 | Scores: 222.15 | Mean_Scores: 145.30 | Time: 01:03:30
Episode: 890 | Scores: 181.86 | Mean_Scores: 150.29 | Time: 01:03:50
Episode: 900 | Scores: 217.87 | Mean_Scores: 158.00 | Time: 01:04:16
Episode: 910 | Scores: -172.97 | Mean_Scores: 160.53 | Time: 01:04:53
Episode: 920 | Scores: 123.60 | Mean_Scores: 163.53 | Time: 01:05:31
Episode: 930 | Scores: -73.17 | Mean_Scores: 155.64 | Time: 01:06:16
Episode: 940 | Scores: 176.52 | Mean_Scores: 148.54 | Time: 01:07:10
Episode: 950 | Scores: 253.32 | Mean_Scores: 149.24 | Time: 01:07:56
Episode: 960 | Scores: 243.42 | Mean_Scores: 157.86 | Time: 01:08:38
Episode: 970 | Scores: 220.28 | Mean_Scores: 158.64 | Time: 01:09:19
Episode: 980 | Scores: 214.35 | Mean_Scores: 156.87 | Time: 01:09:53
Episode: 990 | Scores: 228.22 | Mean_Scores: 158.88 | Time: 01:10:30
Episode: 1000 | Scores: 231.47 | Mean_Scores: 157.77 | Time: 01:11:04
Episode: 1010 | Scores: 218.46 | Mean_Scores: 170.55 | Time: 01:11:28
Episode: 1020 | Scores: 225.27 | Mean_Scores: 177.80 | Time: 01:11:52
Episode: 1026 | Scores: 209.83 | Mean_Scores: 184.63 | Time: 01:12:10
