episode: 1 | reward: -21.0 | mean_reward: -21.00 | epsilon: 1.00 | speed: 1203.30 frames/s
episode: 2 | reward: -20.0 | mean_reward: -20.50 | epsilon: 1.00 | speed: 1232.52 frames/s
episode: 3 | reward: -20.0 | mean_reward: -20.33 | epsilon: 1.00 | speed: 1241.37 frames/s
episode: 4 | reward: -21.0 | mean_reward: -20.50 | epsilon: 1.00 | speed: 1205.73 frames/s
episode: 5 | reward: -20.0 | mean_reward: -20.40 | epsilon: 1.00 | speed: 1245.81 frames/s
episode: 6 | reward: -20.0 | mean_reward: -20.33 | epsilon: 1.00 | speed: 1226.31 frames/s
episode: 7 | reward: -21.0 | mean_reward: -20.43 | epsilon: 1.00 | speed: 1215.38 frames/s
episode: 8 | reward: -20.0 | mean_reward: -20.38 | epsilon: 1.00 | speed: 1232.55 frames/s
episode: 9 | reward: -20.0 | mean_reward: -20.33 | epsilon: 1.00 | speed: 1231.13 frames/s
episode: 10 | reward: -19.0 | mean_reward: -20.20 | epsilon: 1.00 | speed: 155.12 frames/s
episode: 11 | reward: -18.0 | mean_reward: -20.00 | epsilon: 1.00 | speed: 77.52 frames/s
episode: 12 | reward: -19.0 | mean_reward: -19.92 | epsilon: 1.00 | speed: 78.65 frames/s
episode: 13 | reward: -21.0 | mean_reward: -20.00 | epsilon: 1.00 | speed: 77.68 frames/s
episode: 14 | reward: -20.0 | mean_reward: -20.00 | epsilon: 1.00 | speed: 85.94 frames/s
episode: 15 | reward: -20.0 | mean_reward: -20.00 | epsilon: 1.00 | speed: 62.80 frames/s
episode: 16 | reward: -21.0 | mean_reward: -20.06 | epsilon: 0.99 | speed: 73.30 frames/s
episode: 17 | reward: -20.0 | mean_reward: -20.06 | epsilon: 0.99 | speed: 84.66 frames/s
episode: 18 | reward: -19.0 | mean_reward: -20.00 | epsilon: 0.99 | speed: 81.23 frames/s
episode: 19 | reward: -19.0 | mean_reward: -19.95 | epsilon: 0.99 | speed: 85.41 frames/s
episode: 20 | reward: -21.0 | mean_reward: -20.00 | epsilon: 0.99 | speed: 83.51 frames/s
episode: 21 | reward: -21.0 | mean_reward: -20.05 | epsilon: 0.99 | speed: 85.02 frames/s
episode: 22 | reward: -20.0 | mean_reward: -20.05 | epsilon: 0.99 | speed: 87.11 frames/s
episode: 23 | reward: -21.0 | mean_reward: -20.09 | epsilon: 0.99 | speed: 86.26 frames/s
episode: 24 | reward: -21.0 | mean_reward: -20.12 | epsilon: 0.99 | speed: 85.20 frames/s
episode: 25 | reward: -19.0 | mean_reward: -20.08 | epsilon: 0.99 | speed: 86.22 frames/s
episode: 26 | reward: -20.0 | mean_reward: -20.08 | epsilon: 0.98 | speed: 87.97 frames/s
episode: 27 | reward: -20.0 | mean_reward: -20.07 | epsilon: 0.98 | speed: 89.35 frames/s
episode: 28 | reward: -21.0 | mean_reward: -20.11 | epsilon: 0.98 | speed: 87.84 frames/s
episode: 29 | reward: -21.0 | mean_reward: -20.14 | epsilon: 0.98 | speed: 76.74 frames/s
episode: 30 | reward: -21.0 | mean_reward: -20.17 | epsilon: 0.98 | speed: 79.93 frames/s
episode: 31 | reward: -20.0 | mean_reward: -20.16 | epsilon: 0.98 | speed: 85.41 frames/s
episode: 32 | reward: -21.0 | mean_reward: -20.19 | epsilon: 0.98 | speed: 83.62 frames/s
episode: 33 | reward: -20.0 | mean_reward: -20.18 | epsilon: 0.98 | speed: 82.22 frames/s
episode: 34 | reward: -21.0 | mean_reward: -20.21 | epsilon: 0.98 | speed: 84.27 frames/s
episode: 35 | reward: -19.0 | mean_reward: -20.17 | epsilon: 0.98 | speed: 89.66 frames/s
episode: 36 | reward: -21.0 | mean_reward: -20.19 | epsilon: 0.98 | speed: 91.69 frames/s
episode: 37 | reward: -20.0 | mean_reward: -20.19 | epsilon: 0.97 | speed: 90.78 frames/s
episode: 38 | reward: -17.0 | mean_reward: -20.11 | epsilon: 0.97 | speed: 90.26 frames/s
episode: 39 | reward: -19.0 | mean_reward: -20.08 | epsilon: 0.97 | speed: 89.78 frames/s
episode: 40 | reward: -20.0 | mean_reward: -20.07 | epsilon: 0.97 | speed: 89.74 frames/s
episode: 41 | reward: -21.0 | mean_reward: -20.10 | epsilon: 0.97 | speed: 89.46 frames/s
episode: 42 | reward: -19.0 | mean_reward: -20.07 | epsilon: 0.97 | speed: 89.75 frames/s
episode: 43 | reward: -20.0 | mean_reward: -20.07 | epsilon: 0.97 | speed: 90.06 frames/s
episode: 44 | reward: -20.0 | mean_reward: -20.07 | epsilon: 0.97 | speed: 89.96 frames/s
episode: 45 | reward: -21.0 | mean_reward: -20.09 | epsilon: 0.97 | speed: 89.63 frames/s
episode: 46 | reward: -20.0 | mean_reward: -20.09 | epsilon: 0.97 | speed: 90.72 frames/s
episode: 47 | reward: -21.0 | mean_reward: -20.11 | epsilon: 0.96 | speed: 89.43 frames/s
episode: 48 | reward: -20.0 | mean_reward: -20.10 | epsilon: 0.96 | speed: 83.91 frames/s
episode: 49 | reward: -21.0 | mean_reward: -20.12 | epsilon: 0.96 | speed: 79.93 frames/s
episode: 50 | reward: -19.0 | mean_reward: -20.10 | epsilon: 0.96 | speed: 80.23 frames/s
episode: 51 | reward: -20.0 | mean_reward: -20.10 | epsilon: 0.96 | speed: 80.73 frames/s
episode: 52 | reward: -19.0 | mean_reward: -20.08 | epsilon: 0.96 | speed: 84.72 frames/s
episode: 53 | reward: -20.0 | mean_reward: -20.08 | epsilon: 0.96 | speed: 75.64 frames/s
episode: 54 | reward: -21.0 | mean_reward: -20.09 | epsilon: 0.96 | speed: 79.75 frames/s
episode: 55 | reward: -21.0 | mean_reward: -20.11 | epsilon: 0.96 | speed: 76.76 frames/s
episode: 56 | reward: -21.0 | mean_reward: -20.12 | epsilon: 0.96 | speed: 81.90 frames/s
episode: 57 | reward: -21.0 | mean_reward: -20.14 | epsilon: 0.96 | speed: 81.39 frames/s
episode: 58 | reward: -20.0 | mean_reward: -20.14 | epsilon: 0.95 | speed: 82.68 frames/s
episode: 59 | reward: -18.0 | mean_reward: -20.10 | epsilon: 0.95 | speed: 80.75 frames/s
episode: 60 | reward: -18.0 | mean_reward: -20.07 | epsilon: 0.95 | speed: 85.76 frames/s
episode: 61 | reward: -20.0 | mean_reward: -20.07 | epsilon: 0.95 | speed: 83.40 frames/s
episode: 62 | reward: -19.0 | mean_reward: -20.05 | epsilon: 0.95 | speed: 79.79 frames/s
episode: 63 | reward: -20.0 | mean_reward: -20.05 | epsilon: 0.95 | speed: 79.71 frames/s
episode: 64 | reward: -20.0 | mean_reward: -20.05 | epsilon: 0.95 | speed: 77.32 frames/s
episode: 65 | reward: -20.0 | mean_reward: -20.05 | epsilon: 0.95 | speed: 82.66 frames/s
episode: 66 | reward: -21.0 | mean_reward: -20.06 | epsilon: 0.95 | speed: 80.29 frames/s
episode: 67 | reward: -21.0 | mean_reward: -20.07 | epsilon: 0.95 | speed: 79.42 frames/s
episode: 68 | reward: -21.0 | mean_reward: -20.09 | epsilon: 0.94 | speed: 77.95 frames/s
episode: 69 | reward: -20.0 | mean_reward: -20.09 | epsilon: 0.94 | speed: 81.98 frames/s
episode: 70 | reward: -20.0 | mean_reward: -20.09 | epsilon: 0.94 | speed: 80.13 frames/s
episode: 71 | reward: -20.0 | mean_reward: -20.08 | epsilon: 0.94 | speed: 76.85 frames/s
episode: 72 | reward: -19.0 | mean_reward: -20.07 | epsilon: 0.94 | speed: 69.21 frames/s
episode: 73 | reward: -20.0 | mean_reward: -20.07 | epsilon: 0.94 | speed: 74.18 frames/s
episode: 74 | reward: -20.0 | mean_reward: -20.07 | epsilon: 0.94 | speed: 75.85 frames/s
episode: 75 | reward: -20.0 | mean_reward: -20.07 | epsilon: 0.94 | speed: 64.91 frames/s
episode: 76 | reward: -20.0 | mean_reward: -20.07 | epsilon: 0.94 | speed: 76.18 frames/s
episode: 77 | reward: -21.0 | mean_reward: -20.08 | epsilon: 0.94 | speed: 80.49 frames/s
episode: 78 | reward: -21.0 | mean_reward: -20.09 | epsilon: 0.93 | speed: 80.76 frames/s
episode: 79 | reward: -19.0 | mean_reward: -20.08 | epsilon: 0.93 | speed: 81.70 frames/s
episode: 80 | reward: -21.0 | mean_reward: -20.09 | epsilon: 0.93 | speed: 79.40 frames/s
episode: 81 | reward: -21.0 | mean_reward: -20.10 | epsilon: 0.93 | speed: 73.82 frames/s
episode: 82 | reward: -20.0 | mean_reward: -20.10 | epsilon: 0.93 | speed: 60.18 frames/s
episode: 83 | reward: -21.0 | mean_reward: -20.11 | epsilon: 0.93 | speed: 60.61 frames/s
episode: 84 | reward: -19.0 | mean_reward: -20.10 | epsilon: 0.93 | speed: 60.95 frames/s
episode: 85 | reward: -21.0 | mean_reward: -20.11 | epsilon: 0.93 | speed: 61.50 frames/s
episode: 86 | reward: -21.0 | mean_reward: -20.12 | epsilon: 0.93 | speed: 78.59 frames/s
episode: 87 | reward: -21.0 | mean_reward: -20.13 | epsilon: 0.93 | speed: 79.28 frames/s
episode: 88 | reward: -21.0 | mean_reward: -20.14 | epsilon: 0.93 | speed: 80.34 frames/s
episode: 89 | reward: -21.0 | mean_reward: -20.15 | epsilon: 0.92 | speed: 80.40 frames/s
episode: 90 | reward: -19.0 | mean_reward: -20.13 | epsilon: 0.92 | speed: 80.52 frames/s
episode: 91 | reward: -21.0 | mean_reward: -20.14 | epsilon: 0.92 | speed: 79.82 frames/s
episode: 92 | reward: -20.0 | mean_reward: -20.14 | epsilon: 0.92 | speed: 80.36 frames/s
episode: 93 | reward: -19.0 | mean_reward: -20.13 | epsilon: 0.92 | speed: 80.74 frames/s
episode: 94 | reward: -19.0 | mean_reward: -20.12 | epsilon: 0.92 | speed: 80.73 frames/s
episode: 95 | reward: -17.0 | mean_reward: -20.08 | epsilon: 0.92 | speed: 81.07 frames/s
episode: 96 | reward: -20.0 | mean_reward: -20.08 | epsilon: 0.92 | speed: 80.55 frames/s
episode: 97 | reward: -21.0 | mean_reward: -20.09 | epsilon: 0.92 | speed: 81.04 frames/s
episode: 98 | reward: -19.0 | mean_reward: -20.08 | epsilon: 0.92 | speed: 80.94 frames/s
episode: 99 | reward: -21.0 | mean_reward: -20.09 | epsilon: 0.91 | speed: 80.12 frames/s
episode: 100 | reward: -20.0 | mean_reward: -20.09 | epsilon: 0.91 | speed: 81.13 frames/s
episode: 101 | reward: -19.0 | mean_reward: -20.07 | epsilon: 0.91 | speed: 80.87 frames/s
episode: 102 | reward: -19.0 | mean_reward: -20.06 | epsilon: 0.91 | speed: 80.01 frames/s
episode: 103 | reward: -21.0 | mean_reward: -20.07 | epsilon: 0.91 | speed: 78.29 frames/s
episode: 104 | reward: -19.0 | mean_reward: -20.05 | epsilon: 0.91 | speed: 80.32 frames/s
episode: 105 | reward: -21.0 | mean_reward: -20.06 | epsilon: 0.91 | speed: 80.18 frames/s
episode: 106 | reward: -21.0 | mean_reward: -20.07 | epsilon: 0.91 | speed: 80.28 frames/s
episode: 107 | reward: -21.0 | mean_reward: -20.07 | epsilon: 0.91 | speed: 80.61 frames/s
episode: 108 | reward: -18.0 | mean_reward: -20.05 | epsilon: 0.91 | speed: 81.06 frames/s
episode: 109 | reward: -20.0 | mean_reward: -20.05 | epsilon: 0.90 | speed: 80.56 frames/s
episode: 110 | reward: -21.0 | mean_reward: -20.07 | epsilon: 0.90 | speed: 80.85 frames/s
episode: 111 | reward: -20.0 | mean_reward: -20.09 | epsilon: 0.90 | speed: 80.62 frames/s
episode: 112 | reward: -20.0 | mean_reward: -20.10 | epsilon: 0.90 | speed: 80.75 frames/s
episode: 113 | reward: -15.0 | mean_reward: -20.04 | epsilon: 0.90 | speed: 79.91 frames/s
episode: 114 | reward: -20.0 | mean_reward: -20.04 | epsilon: 0.90 | speed: 81.13 frames/s
episode: 115 | reward: -21.0 | mean_reward: -20.05 | epsilon: 0.90 | speed: 79.45 frames/s
episode: 116 | reward: -20.0 | mean_reward: -20.04 | epsilon: 0.90 | speed: 80.65 frames/s
episode: 117 | reward: -21.0 | mean_reward: -20.05 | epsilon: 0.90 | speed: 80.19 frames/s
episode: 118 | reward: -20.0 | mean_reward: -20.06 | epsilon: 0.90 | speed: 80.34 frames/s
episode: 119 | reward: -19.0 | mean_reward: -20.06 | epsilon: 0.89 | speed: 80.55 frames/s
episode: 120 | reward: -20.0 | mean_reward: -20.05 | epsilon: 0.89 | speed: 80.60 frames/s
episode: 121 | reward: -19.0 | mean_reward: -20.03 | epsilon: 0.89 | speed: 80.14 frames/s
episode: 122 | reward: -21.0 | mean_reward: -20.04 | epsilon: 0.89 | speed: 74.99 frames/s
episode: 123 | reward: -20.0 | mean_reward: -20.03 | epsilon: 0.89 | speed: 81.19 frames/s
episode: 124 | reward: -18.0 | mean_reward: -20.00 | epsilon: 0.89 | speed: 79.51 frames/s
episode: 125 | reward: -20.0 | mean_reward: -20.01 | epsilon: 0.89 | speed: 78.35 frames/s
episode: 126 | reward: -20.0 | mean_reward: -20.01 | epsilon: 0.89 | speed: 78.65 frames/s
episode: 127 | reward: -19.0 | mean_reward: -20.00 | epsilon: 0.89 | speed: 79.35 frames/s
episode: 128 | reward: -20.0 | mean_reward: -19.99 | epsilon: 0.89 | speed: 78.15 frames/s
episode: 129 | reward: -21.0 | mean_reward: -19.99 | epsilon: 0.88 | speed: 83.12 frames/s
episode: 130 | reward: -19.0 | mean_reward: -19.97 | epsilon: 0.88 | speed: 82.60 frames/s
episode: 131 | reward: -21.0 | mean_reward: -19.98 | epsilon: 0.88 | speed: 78.31 frames/s
episode: 132 | reward: -20.0 | mean_reward: -19.97 | epsilon: 0.88 | speed: 82.33 frames/s
episode: 133 | reward: -20.0 | mean_reward: -19.97 | epsilon: 0.88 | speed: 80.30 frames/s
episode: 134 | reward: -20.0 | mean_reward: -19.96 | epsilon: 0.88 | speed: 81.09 frames/s
episode: 135 | reward: -19.0 | mean_reward: -19.96 | epsilon: 0.88 | speed: 82.74 frames/s
