episode: 1 | reward: -20.0 | mean_reward: -20.00 | epsilon: 1.00 | speed: 501.89 frames/s
episode: 2 | reward: -17.0 | mean_reward: -18.50 | epsilon: 1.00 | speed: 1214.33 frames/s
episode: 3 | reward: -20.0 | mean_reward: -19.00 | epsilon: 1.00 | speed: 1214.38 frames/s
episode: 4 | reward: -20.0 | mean_reward: -19.25 | epsilon: 1.00 | speed: 1264.88 frames/s
episode: 5 | reward: -21.0 | mean_reward: -19.60 | epsilon: 0.99 | speed: 1219.71 frames/s
episode: 6 | reward: -21.0 | mean_reward: -19.83 | epsilon: 0.99 | speed: 1230.18 frames/s
episode: 7 | reward: -20.0 | mean_reward: -19.86 | epsilon: 0.99 | speed: 1220.62 frames/s
episode: 8 | reward: -21.0 | mean_reward: -20.00 | epsilon: 0.99 | speed: 1200.25 frames/s
episode: 9 | reward: -20.0 | mean_reward: -20.00 | epsilon: 0.99 | speed: 1240.30 frames/s
episode: 10 | reward: -21.0 | mean_reward: -20.10 | epsilon: 0.99 | speed: 1205.65 frames/s
episode: 11 | reward: -20.0 | mean_reward: -20.09 | epsilon: 0.99 | speed: 152.06 frames/s
episode: 12 | reward: -21.0 | mean_reward: -20.17 | epsilon: 0.99 | speed: 94.78 frames/s
episode: 13 | reward: -21.0 | mean_reward: -20.23 | epsilon: 0.99 | speed: 94.35 frames/s
episode: 14 | reward: -20.0 | mean_reward: -20.21 | epsilon: 0.99 | speed: 95.38 frames/s
episode: 15 | reward: -21.0 | mean_reward: -20.27 | epsilon: 0.99 | speed: 93.50 frames/s
episode: 16 | reward: -20.0 | mean_reward: -20.25 | epsilon: 0.98 | speed: 97.12 frames/s
episode: 17 | reward: -21.0 | mean_reward: -20.29 | epsilon: 0.98 | speed: 82.88 frames/s
episode: 18 | reward: -20.0 | mean_reward: -20.28 | epsilon: 0.98 | speed: 91.28 frames/s
episode: 19 | reward: -20.0 | mean_reward: -20.26 | epsilon: 0.98 | speed: 98.51 frames/s
episode: 20 | reward: -21.0 | mean_reward: -20.30 | epsilon: 0.98 | speed: 99.11 frames/s
episode: 21 | reward: -21.0 | mean_reward: -20.33 | epsilon: 0.98 | speed: 98.42 frames/s
episode: 22 | reward: -20.0 | mean_reward: -20.32 | epsilon: 0.98 | speed: 96.38 frames/s
episode: 23 | reward: -21.0 | mean_reward: -20.35 | epsilon: 0.98 | speed: 96.82 frames/s
episode: 24 | reward: -19.0 | mean_reward: -20.29 | epsilon: 0.98 | speed: 96.64 frames/s
episode: 25 | reward: -21.0 | mean_reward: -20.32 | epsilon: 0.98 | speed: 96.33 frames/s
episode: 26 | reward: -20.0 | mean_reward: -20.31 | epsilon: 0.98 | speed: 98.01 frames/s
episode: 27 | reward: -21.0 | mean_reward: -20.33 | epsilon: 0.98 | speed: 97.08 frames/s
episode: 28 | reward: -21.0 | mean_reward: -20.36 | epsilon: 0.97 | speed: 98.30 frames/s
episode: 29 | reward: -20.0 | mean_reward: -20.34 | epsilon: 0.97 | speed: 95.79 frames/s
episode: 30 | reward: -21.0 | mean_reward: -20.37 | epsilon: 0.97 | speed: 84.91 frames/s
episode: 31 | reward: -21.0 | mean_reward: -20.39 | epsilon: 0.97 | speed: 92.56 frames/s
episode: 32 | reward: -20.0 | mean_reward: -20.38 | epsilon: 0.97 | speed: 95.03 frames/s
episode: 33 | reward: -21.0 | mean_reward: -20.39 | epsilon: 0.97 | speed: 90.09 frames/s
episode: 34 | reward: -20.0 | mean_reward: -20.38 | epsilon: 0.97 | speed: 96.93 frames/s
episode: 35 | reward: -21.0 | mean_reward: -20.40 | epsilon: 0.97 | speed: 96.64 frames/s
episode: 36 | reward: -21.0 | mean_reward: -20.42 | epsilon: 0.97 | speed: 97.75 frames/s
episode: 37 | reward: -20.0 | mean_reward: -20.41 | epsilon: 0.97 | speed: 97.11 frames/s
episode: 38 | reward: -19.0 | mean_reward: -20.37 | epsilon: 0.97 | speed: 97.61 frames/s
episode: 39 | reward: -21.0 | mean_reward: -20.38 | epsilon: 0.96 | speed: 96.84 frames/s
episode: 40 | reward: -21.0 | mean_reward: -20.40 | epsilon: 0.96 | speed: 97.12 frames/s
episode: 41 | reward: -19.0 | mean_reward: -20.37 | epsilon: 0.96 | speed: 97.06 frames/s
episode: 42 | reward: -21.0 | mean_reward: -20.38 | epsilon: 0.96 | speed: 96.69 frames/s
episode: 43 | reward: -20.0 | mean_reward: -20.37 | epsilon: 0.96 | speed: 97.08 frames/s
episode: 44 | reward: -20.0 | mean_reward: -20.36 | epsilon: 0.96 | speed: 97.16 frames/s
episode: 45 | reward: -21.0 | mean_reward: -20.38 | epsilon: 0.96 | speed: 96.33 frames/s
episode: 46 | reward: -19.0 | mean_reward: -20.35 | epsilon: 0.96 | speed: 92.69 frames/s
episode: 47 | reward: -19.0 | mean_reward: -20.32 | epsilon: 0.96 | speed: 97.10 frames/s
episode: 48 | reward: -20.0 | mean_reward: -20.31 | epsilon: 0.96 | speed: 97.14 frames/s
episode: 49 | reward: -21.0 | mean_reward: -20.33 | epsilon: 0.95 | speed: 96.73 frames/s
episode: 50 | reward: -21.0 | mean_reward: -20.34 | epsilon: 0.95 | speed: 97.88 frames/s
episode: 51 | reward: -21.0 | mean_reward: -20.35 | epsilon: 0.95 | speed: 95.27 frames/s
episode: 52 | reward: -21.0 | mean_reward: -20.37 | epsilon: 0.95 | speed: 97.09 frames/s
episode: 53 | reward: -20.0 | mean_reward: -20.36 | epsilon: 0.95 | speed: 96.59 frames/s
episode: 54 | reward: -21.0 | mean_reward: -20.37 | epsilon: 0.95 | speed: 96.28 frames/s
