Episode: 1 | Scores: 20.0 | Mean_score: 20.0
Episode: 2 | Scores: 19.0 | Mean_score: 19.5
Episode: 3 | Scores: 30.0 | Mean_score: 23.0
Episode: 4 | Scores: 29.0 | Mean_score: 24.5
Episode: 5 | Scores: 52.0 | Mean_score: 30.0
Episode: 6 | Scores: 21.0 | Mean_score: 28.5
Episode: 7 | Scores: 24.0 | Mean_score: 27.857142857142858
Episode: 8 | Scores: 39.0 | Mean_score: 29.25
Episode: 9 | Scores: 16.0 | Mean_score: 27.77777777777778
Episode: 10 | Scores: 30.0 | Mean_score: 28.0
Episode: 11 | Scores: 48.0 | Mean_score: 29.818181818181817
Episode: 12 | Scores: 27.0 | Mean_score: 29.583333333333332
Episode: 13 | Scores: 21.0 | Mean_score: 28.923076923076923
Episode: 14 | Scores: 53.0 | Mean_score: 30.642857142857142
Episode: 15 | Scores: 33.0 | Mean_score: 30.8
Episode: 16 | Scores: 36.0 | Mean_score: 31.125
Episode: 17 | Scores: 37.0 | Mean_score: 31.470588235294116
Episode: 18 | Scores: 59.0 | Mean_score: 33.0
Episode: 19 | Scores: 30.0 | Mean_score: 32.8421052631579
Episode: 20 | Scores: 55.0 | Mean_score: 33.95
Episode: 21 | Scores: 25.0 | Mean_score: 33.523809523809526
Episode: 22 | Scores: 58.0 | Mean_score: 34.63636363636363
Episode: 23 | Scores: 29.0 | Mean_score: 34.391304347826086
Episode: 24 | Scores: 69.0 | Mean_score: 35.833333333333336
Episode: 25 | Scores: 48.0 | Mean_score: 36.32
Episode: 26 | Scores: 43.0 | Mean_score: 36.57692307692308
Episode: 27 | Scores: 21.0 | Mean_score: 36.0
Episode: 28 | Scores: 50.0 | Mean_score: 36.5
Episode: 29 | Scores: 53.0 | Mean_score: 37.06896551724138
Episode: 30 | Scores: 43.0 | Mean_score: 37.266666666666666
Episode: 31 | Scores: 40.0 | Mean_score: 37.354838709677416
Episode: 32 | Scores: 37.0 | Mean_score: 37.34375
Episode: 33 | Scores: 53.0 | Mean_score: 37.81818181818182
Episode: 34 | Scores: 54.0 | Mean_score: 38.294117647058826
Episode: 35 | Scores: 56.0 | Mean_score: 38.8
Episode: 36 | Scores: 117.0 | Mean_score: 40.97222222222222
Episode: 37 | Scores: 83.0 | Mean_score: 42.108108108108105
Episode: 38 | Scores: 55.0 | Mean_score: 42.44736842105263
Episode: 39 | Scores: 40.0 | Mean_score: 42.38461538461539
Episode: 40 | Scores: 84.0 | Mean_score: 43.425
Episode: 41 | Scores: 66.0 | Mean_score: 43.97560975609756
Episode: 42 | Scores: 52.0 | Mean_score: 44.166666666666664
Episode: 43 | Scores: 87.0 | Mean_score: 45.16279069767442
Episode: 44 | Scores: 76.0 | Mean_score: 45.86363636363637
Episode: 45 | Scores: 90.0 | Mean_score: 46.84444444444444
Episode: 46 | Scores: 175.0 | Mean_score: 49.630434782608695
Episode: 47 | Scores: 83.0 | Mean_score: 50.340425531914896
Episode: 48 | Scores: 60.0 | Mean_score: 50.541666666666664
Episode: 49 | Scores: 77.0 | Mean_score: 51.08163265306123
Episode: 50 | Scores: 62.0 | Mean_score: 51.3
Episode: 51 | Scores: 78.0 | Mean_score: 51.8235294117647
Episode: 52 | Scores: 35.0 | Mean_score: 51.5
Episode: 53 | Scores: 46.0 | Mean_score: 51.39622641509434
Episode: 54 | Scores: 35.0 | Mean_score: 51.092592592592595
Episode: 55 | Scores: 48.0 | Mean_score: 51.03636363636364
Episode: 56 | Scores: 36.0 | Mean_score: 50.767857142857146
Episode: 57 | Scores: 53.0 | Mean_score: 50.80701754385965
Episode: 58 | Scores: 47.0 | Mean_score: 50.741379310344826
Episode: 59 | Scores: 36.0 | Mean_score: 50.49152542372882
Episode: 60 | Scores: 66.0 | Mean_score: 50.75
Episode: 61 | Scores: 46.0 | Mean_score: 50.67213114754098
Episode: 62 | Scores: 45.0 | Mean_score: 50.58064516129032
Episode: 63 | Scores: 49.0 | Mean_score: 50.55555555555556
Episode: 64 | Scores: 66.0 | Mean_score: 50.796875
Episode: 65 | Scores: 37.0 | Mean_score: 50.58461538461538
Episode: 66 | Scores: 34.0 | Mean_score: 50.333333333333336
Episode: 67 | Scores: 44.0 | Mean_score: 50.23880597014925
Episode: 68 | Scores: 55.0 | Mean_score: 50.30882352941177
Episode: 69 | Scores: 56.0 | Mean_score: 50.391304347826086
Episode: 70 | Scores: 60.0 | Mean_score: 50.52857142857143
Episode: 71 | Scores: 74.0 | Mean_score: 50.859154929577464
Episode: 72 | Scores: 42.0 | Mean_score: 50.736111111111114
Episode: 73 | Scores: 52.0 | Mean_score: 50.75342465753425
Episode: 74 | Scores: 40.0 | Mean_score: 50.608108108108105
Episode: 75 | Scores: 49.0 | Mean_score: 50.586666666666666
Episode: 76 | Scores: 42.0 | Mean_score: 50.473684210526315
