Episode: 1 | Scores: 35.0 | Mean_score: 35.0
Episode: 2 | Scores: 56.0 | Mean_score: 45.5
Episode: 3 | Scores: 20.0 | Mean_score: 37.0
Episode: 4 | Scores: 15.0 | Mean_score: 31.5
Episode: 5 | Scores: 21.0 | Mean_score: 29.4
Episode: 6 | Scores: 72.0 | Mean_score: 36.5
Episode: 7 | Scores: 19.0 | Mean_score: 34.0
Episode: 8 | Scores: 37.0 | Mean_score: 34.375
Episode: 9 | Scores: 19.0 | Mean_score: 32.666666666666664
Episode: 10 | Scores: 15.0 | Mean_score: 30.9
Episode: 11 | Scores: 22.0 | Mean_score: 30.09090909090909
Episode: 12 | Scores: 12.0 | Mean_score: 28.583333333333332
Episode: 13 | Scores: 16.0 | Mean_score: 27.615384615384617
Episode: 14 | Scores: 34.0 | Mean_score: 28.071428571428573
Episode: 15 | Scores: 50.0 | Mean_score: 29.533333333333335
Episode: 16 | Scores: 28.0 | Mean_score: 29.4375
Episode: 17 | Scores: 19.0 | Mean_score: 28.823529411764707
Episode: 18 | Scores: 19.0 | Mean_score: 28.27777777777778
Episode: 19 | Scores: 16.0 | Mean_score: 27.63157894736842
Episode: 20 | Scores: 23.0 | Mean_score: 27.4
Episode: 21 | Scores: 16.0 | Mean_score: 26.857142857142858
Episode: 22 | Scores: 77.0 | Mean_score: 29.136363636363637
Episode: 23 | Scores: 43.0 | Mean_score: 29.73913043478261
Episode: 24 | Scores: 24.0 | Mean_score: 29.5
Episode: 25 | Scores: 39.0 | Mean_score: 29.88
Episode: 26 | Scores: 39.0 | Mean_score: 30.23076923076923
Episode: 27 | Scores: 25.0 | Mean_score: 30.037037037037038
Episode: 28 | Scores: 29.0 | Mean_score: 30.0
Episode: 29 | Scores: 37.0 | Mean_score: 30.24137931034483
Episode: 30 | Scores: 23.0 | Mean_score: 30.0
Episode: 31 | Scores: 14.0 | Mean_score: 29.483870967741936
Episode: 32 | Scores: 90.0 | Mean_score: 31.375
Episode: 33 | Scores: 30.0 | Mean_score: 31.333333333333332
Episode: 34 | Scores: 45.0 | Mean_score: 31.735294117647058
Episode: 35 | Scores: 23.0 | Mean_score: 31.485714285714284
Episode: 36 | Scores: 39.0 | Mean_score: 31.694444444444443
Episode: 37 | Scores: 30.0 | Mean_score: 31.64864864864865
Episode: 38 | Scores: 45.0 | Mean_score: 32.0
Episode: 39 | Scores: 29.0 | Mean_score: 31.923076923076923
Episode: 40 | Scores: 35.0 | Mean_score: 32.0
Episode: 41 | Scores: 41.0 | Mean_score: 32.21951219512195
Episode: 42 | Scores: 55.0 | Mean_score: 32.76190476190476
Episode: 43 | Scores: 29.0 | Mean_score: 32.674418604651166
Episode: 44 | Scores: 40.0 | Mean_score: 32.84090909090909
Episode: 45 | Scores: 113.0 | Mean_score: 34.62222222222222
Episode: 46 | Scores: 173.0 | Mean_score: 37.630434782608695
Episode: 47 | Scores: 57.0 | Mean_score: 38.04255319148936
Episode: 48 | Scores: 63.0 | Mean_score: 38.5625
Episode: 49 | Scores: 56.0 | Mean_score: 38.91836734693877
Episode: 50 | Scores: 43.0 | Mean_score: 39.0
Episode: 51 | Scores: 130.0 | Mean_score: 40.78431372549019
Episode: 52 | Scores: 98.0 | Mean_score: 41.88461538461539
Episode: 53 | Scores: 17.0 | Mean_score: 41.41509433962264
Episode: 54 | Scores: 77.0 | Mean_score: 42.074074074074076
